,comment,machine_id,start_time,end_time,duration,name,downtime_code_id,Name_2,year,Station
1117603,No Comment and No Reason Code,286.0,2021-01-01 03:50:00.000,2021-01-01 11:50:00.000,28800.0,WLM02 ST130,,,2021,
1117758,No Comment and No Reason Code,286.0,2021-01-01 11:50:00.000,2021-01-01 19:50:00.000,28800.0,WLM02 ST130,,,2021,
1117913,No Comment and No Reason Code,286.0,2021-01-01 19:50:00.000,2021-01-02 03:50:00.000,28800.0,WLM02 ST130,,,2021,
1118068,No Comment and No Reason Code,286.0,2021-01-02 03:50:00.000,2021-01-02 11:50:00.000,28800.0,WLM02 ST130,,,2021,
1118223,No Comment and No Reason Code,286.0,2021-01-02 11:50:00.000,2021-01-02 19:50:00.000,28800.0,WLM02 ST130,,,2021,
1118378,No Comment and No Reason Code,286.0,2021-01-02 19:50:00.000,2021-01-03 03:50:00.000,28800.0,WLM02 ST130,,,2021,
1118533,No Comment and No Reason Code,286.0,2021-01-03 03:50:00.000,2021-01-03 11:50:00.000,28800.0,WLM02 ST130,,,2021,
1118688,No Comment and No Reason Code,286.0,2021-01-03 11:50:00.000,2021-01-03 19:50:00.000,28800.0,WLM02 ST130,,,2021,
1118839,No Comment and No Reason Code,286.0,2021-01-03 19:50:00.000,2021-01-04 03:50:00.000,28800.0,WLM02 ST130,,,2021,
1118989,No Comment and No Reason Code,286.0,2021-01-04 03:50:00.000,2021-01-04 11:50:00.000,28800.0,WLM02 ST130,,,2021,
1120130,No Comment and No Reason Code,286.0,2021-01-04 11:50:00.000,2021-01-04 16:26:59.040,16619.386,WLM02 ST130,,,2021,
1121073,No Comment and No Reason Code,285.0,2021-01-04 16:26:59.040,2021-01-04 16:28:56.040,117.0,WLM01 ST130,,,2021,
1121074,No Comment and No Reason Code,286.0,2021-01-04 16:26:59.040,2021-01-04 16:28:56.040,117.0,WLM02 ST130,,,2021,
1121198,No Comment and No Reason Code,285.0,2021-01-04 16:56:03.047,2021-01-04 17:05:00.000,536.543,WLM01 ST130,,,2021,
